developer,freetogame_profile_url,game_url,genre,id,platform,publisher,release_date,short_description,thumbnail,title
InnoGames,https://www.freetogame.com/elvenar,https://www.freetogame.com/open/elvenar,Strategy,347,Web Browser,InnoGames,2015-04-08,A browser based city-building strategy MMO set in the fantasy world of Elvenar.,https://www.freetogame.com/g/347/thumbnail.jpg,Elvenar
Smilegate RPG,https://www.freetogame.com/lost-ark,https://www.freetogame.com/open/lost-ark,ARPG,517,PC (Windows),Amazon Games,2022-02-11,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/g/517/thumbnail.jpg,Lost Ark
Battlefield Studios,https://www.freetogame.com/battlefield-redsec,https://www.freetogame.com/open/battlefield-redsec,Shooter,624,PC (Windows),Electronic Arts,2025-10-28,A free-to-play battle royale game built with Battlefield DNA.,https://www.freetogame.com/g/624/thumbnail.jpg,Battlefield REDSEC
Cryptic Studios,https://www.freetogame.com/neverwinter,https://www.freetogame.com/open/neverwinter,MMORPG,11,PC (Windows),Perfect World Entertainment,2013-12-06,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game.,https://www.freetogame.com/g/11/thumbnail.jpg,Neverwinter
miHoYo,https://www.freetogame.com/genshin-impact,https://www.freetogame.com/open/genshin-impact,Action RPG,475,PC (Windows),miHoYo,2020-09-28,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/g/475/thumbnail.jpg,Genshin Impact
Wargaming,https://www.freetogame.com/world-of-warships,https://www.freetogame.com/open/world-of-warships,Shooter,9,PC (Windows),Wargaming,2015-07-02,A 3D free to play naval action-themed MMO from the creators of World of Tanks!,https://www.freetogame.com/g/9/thumbnail.jpg,World of Warships
Thera Interactive,https://www.freetogame.com/world-of-sea-battle,https://www.freetogame.com/open/world-of-sea-battle,MMORPG,628,PC (Windows),Thera Interactive,2025-10-21,A free-to-play historical open-sea MMORPG.,https://www.freetogame.com/g/628/thumbnail.jpg,World of Sea Battle
Hypergryph,https://www.freetogame.com/arknights-endfield,https://www.freetogame.com/open/arknights-endfield,Strategy,636,PC (Windows),GRYPHLINE,2026-01-21,A free-to-play RTS RPG gacha game.,https://www.freetogame.com/g/636/thumbnail.jpg,Arknights: Endfield
Singularity Six,https://www.freetogame.com/palia,https://www.freetogame.com/open/palia,MMORPG,560,PC (Windows),Singularity Six,2023-08-10,A cozy MMO with homebuilding and some adventure.,https://www.freetogame.com/g/560/thumbnail.jpg,Palia
Cryptic Studios,https://www.freetogame.com/star-trek-online,https://www.freetogame.com/open/star-trek-online,MMORPG,14,PC (Windows),Perfect World Entertainment,2010-02-02,"A free-to-play, 3D, Sci-Fi MMORPG based on the popular Star Trek series.",https://www.freetogame.com/g/14/thumbnail.jpg,Star Trek Online
Netmarble,https://www.freetogame.com/rf-online-next,https://www.freetogame.com/open/rf-online-next,MMORPG,647,PC (Windows),Netmarble,2026-06-15,A free-to-play sci-fi PvP MMORPG.,https://www.freetogame.com/g/647/thumbnail.jpg,RF Online Next
Ubisoft,https://www.freetogame.com/the-division-resurgence,https://www.freetogame.com/open/the-division-resurgence,Shooter,643,PC (Windows),Ubisoft,2026-04-29,A free-to-play open-world shooter set in The Division universe.,https://www.freetogame.com/g/643/thumbnail.jpg,The Division Resurgence
NetEase,https://www.freetogame.com/marvel-rivals,https://www.freetogame.com/open/marvel-rivals,Shooter,599,PC (Windows),NetEase,2024-12-06,A free-to-play superhero team shooter from NetEase.,https://www.freetogame.com/g/599/thumbnail.jpg,Marvel Rivals
Blue Mammoth Games,https://www.freetogame.com/brawlhalla,https://www.freetogame.com/open/brawlhalla,Fighting,212,PC (Windows),Blue Mammoth Games,2015-11-03,A free-to-play 2D platform fighter inspired by the Smash Bros.,https://www.freetogame.com/g/212/thumbnail.jpg,Brawlhalla
Electronic Arts,https://www.freetogame.com/apex-legends,https://www.freetogame.com/open/apex-legends,Shooter,23,PC (Windows),Electronic Arts,2019-02-04,A free-to-play strategic battle royale game featuring 60-player matches and team-based play.,https://www.freetogame.com/g/23/thumbnail.jpg,Apex Legends
Jagex,https://www.freetogame.com/runescape,https://www.freetogame.com/open/runescape,MMORPG,433,"PC (Windows), Web Browser",Jagex,2001-01-04,A popular 3D browser MMORPG boasting a huge player base and 15 years of content.,https://www.freetogame.com/g/433/thumbnail.jpg,RuneScape
Riot Games,https://www.freetogame.com/valorant,https://www.freetogame.com/open/valorant,Shooter,466,PC (Windows),Riot Games,2020-06-02,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/g/466/thumbnail.jpg,Valorant
NCSoft,https://www.freetogame.com/blade-and-soul,https://www.freetogame.com/open/blade-and-soul,MMORPG,6,PC (Windows),NCSoft,2016-01-19,A free-to-play martial arts MMORPG that tasks players with learning combination attacks.,https://www.freetogame.com/g/6/thumbnail.jpg,Blade and Soul
CipSoft,https://www.freetogame.com/tibia,https://www.freetogame.com/open/tibia,MMORPG,339,PC (Windows),CipSoft,1997-01-07,"A old-school free-to-play massively multiplayer online 
role-playing game.",https://www.freetogame.com/g/339/thumbnail.jpg,Tibia
Kuro Games,https://www.freetogame.com/wuthering-waves,https://www.freetogame.com/open/wuthering-waves,RPG,629,PC (Windows),Kuro Games,2024-05-22,A free-to-play action RPG with gacha elements.,https://www.freetogame.com/g/629/thumbnail.jpg,Wuthering Waves
Blizzard Entertainment,https://www.freetogame.com/diablo-immortal,https://www.freetogame.com/open/diablo-immortal,MMOARPG,521,PC (Windows),Blizzard Entertainment,2022-06-02,"Built for mobile and also released on PC, Diablo Immortal fills in the gaps between Diablo II and III in an MMOARPG environment.",https://www.freetogame.com/g/521/thumbnail.jpg,Diablo Immortal
Yoozoo Games,https://www.freetogame.com/league-of-angels-heavens-fury,https://www.freetogame.com/open/league-of-angels-heavens-fury,MMORPG,458,Web Browser,Gtarcade,2020-01-09,"A free-to-play, browser-based fantasy online action RPG based loosely on Western mythology!",https://www.freetogame.com/g/458/thumbnail.jpg,League of Angels - Heaven's Fury
Fen Research LTD,https://www.freetogame.com/brighter-shores,https://www.freetogame.com/open/brighter-shores,MMORPG,595,PC (Windows),Fen Research LTD,2024-11-06,"A point-and-click MMORPG from RuneScape's creator, Andrew Gower.",https://www.freetogame.com/g/595/thumbnail.jpg,Brighter Shores
Goodgame Studios,https://www.freetogame.com/goodgame-empire,https://www.freetogame.com/open/goodgame-empire,Strategy,350,Web Browser,Goodgame Studios,2011-08-14,A free to play medieval strategy browser game. Build you own castle and create a powerful army!,https://www.freetogame.com/g/350/thumbnail.jpg,Goodgame Empire
Wargaming Group Limited,https://www.freetogame.com/world-of-tanks-heat,https://www.freetogame.com/open/world-of-tanks-heat,Shooter,644,PC (Windows),Wargaming Group Limited,2026-05-26,A free-to-play hero-based shooter set in the World of Tanks universe.,https://www.freetogame.com/g/644/thumbnail.jpg,World of Tanks: HEAT
FunPlus International,https://www.freetogame.com/foundation-galactic-frontier,https://www.freetogame.com/open/foundation-galactic-frontier,Strategy,641,PC (Windows),FunPlus International,2025-10-21,Isaac Asimov’s series brought to life in a massive real-time strategy RPG featuring crew management and galactic warfare.,https://www.freetogame.com/g/641/thumbnail.jpg,Foundation: Galactic Frontier
ArenaNet,https://www.freetogame.com/guild-wars-2,https://www.freetogame.com/open/guild-wars-2,MMORPG,13,PC (Windows),NCsoft,2012-08-28,"A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars.",https://www.freetogame.com/g/13/thumbnail.jpg,Guild Wars 2
NCSoft,https://www.freetogame.com/throne-and-liberty,https://www.freetogame.com/open/throne-and-liberty,MMORPG,590,PC (Windows),Amazon Games,2024-10-01,A free-to-play multi-platorm MMORPG from NCSoft and Amazon Games.,https://www.freetogame.com/g/590/thumbnail.jpg,Throne And Liberty
Wargaming,https://www.freetogame.com/world-of-tanks,https://www.freetogame.com/open/world-of-tanks,Shooter,2,PC (Windows),Wargaming,2011-04-12,"If you like blowing up tanks, with a quick and intense game style you will love this game!",https://www.freetogame.com/g/2/thumbnail2.jpg,World of Tanks
Gaijin Entertainment,https://www.freetogame.com/war-thunder,https://www.freetogame.com/open/war-thunder,Shooter,12,PC (Windows),Gaijin Entertainment,2013-08-15,A MMO shooter that puts you in command of hundreds of the finest combat vehicles of World War II.,https://www.freetogame.com/g/12/thumbnail.jpg,War Thunder
Infinity Ward,https://www.freetogame.com/call-of-duty-warzone,https://www.freetogame.com/open/call-of-duty-warzone,Shooter,452,PC (Windows),Activision,2020-03-10,A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.,https://www.freetogame.com/g/452/thumbnail.jpg,Call of Duty: Warzone
Nexters,https://www.freetogame.com/hero-wars,https://www.freetogame.com/open/hero-wars,MMORPG,620,Web Browser,Nexters,2016-10-01,A free-to-play fantasy MMORPG where players assemble teams of heroes to battle against powerful enemies.,https://www.freetogame.com/g/620/thumbnail.jpg,Hero Wars: Dominion Era
Sega,https://www.freetogame.com/pso2-new-genesis,https://www.freetogame.com/open/pso2-new-genesis,MMORPG,511,PC (Windows),Sega,2021-06-09,The legacy of Phantasy Star Online 2 continues a thousand years later!,https://www.freetogame.com/g/511/thumbnail.jpg,Phantasy Star Online 2 New Genesis
Darkflow Software,https://www.freetogame.com/enlisted,https://www.freetogame.com/open/enlisted,Shooter,508,PC (Windows),Gaijin Entertainment,2021-04-08,Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s MMO squad-based shooter Enlisted.,https://www.freetogame.com/g/508/thumbnail.jpg,Enlisted
343 Industries,https://www.freetogame.com/halo-infinite,https://www.freetogame.com/open/halo-infinite,Shooter,515,PC (Windows),Xbox Game Studios,2021-11-15,"For the first time ever, a free-to-play Halo experience is available in the form of Halo Infinite’s multiplayer.",https://www.freetogame.com/g/515/thumbnail.jpg,Halo Infinite
SEGA,https://www.freetogame.com/pso2,https://www.freetogame.com/open/pso2,MMORPG,467,PC (Windows),SEGA,2020-05-27,"Welcome to ARKS, and elite task force searching dangerous planets for the corrupted Falspawn in Phantasy Star 2 Online, Sega’s popular, free-to-play sci-fi MMORPG.",https://www.freetogame.com/g/467/thumbnail.jpg,Phantasy Star Online 2
Hotta Studio,https://www.freetogame.com/nte,https://www.freetogame.com/open/nte,RPG,642,PC (Windows),Perfect World Entertainment,2026-04-29,Neverness to Everness is a gacha game that blends some GTA-style play with team-based combat.,https://www.freetogame.com/g/642/thumbnail.jpg,Neverness to Everness
FunPlus International,https://www.freetogame.com/project-entropy,https://www.freetogame.com/open/project-entropy,Strategy,640,PC (Windows),FunPlus International,2024-04-17,Project Entropy drops you into a living sci-fi MMO universe!,https://www.freetogame.com/g/640/thumbnail.jpg,Project Entropy
Gamigo,https://www.freetogame.com/gloria-victis,https://www.freetogame.com/open/gloria-victis,MMORPG,646,PC (Windows),Gamigo,2026-06-17,A free-to-play low-fantasy medieval MMORPG.,https://www.freetogame.com/g/646/thumbnail.jpg,Gloria Victis
"KRAFTON, Inc.",https://www.freetogame.com/pubg,https://www.freetogame.com/open/pubg,Shooter,516,PC (Windows),"KRAFTON, Inc.",2022-01-12,Get into the action in one of the longest running battle royale games PUBG Battlegrounds.,https://www.freetogame.com/g/516/thumbnail.jpg,PUBG: BATTLEGROUNDS
Gaijin,https://www.freetogame.com/crossout,https://www.freetogame.com/open/crossout,Shooter,5,PC (Windows),Targem,2017-05-30,A post-apocalyptic MMO vehicle combat game!,https://www.freetogame.com/g/5/thumbnail.jpg,Crossout
Trion Worlds,https://www.freetogame.com/trove,https://www.freetogame.com/open/trove,MMORPG,8,PC (Windows),Trion Worlds,2015-07-09,A free to play Sandbox massively multiplayer online role-playing game!,https://www.freetogame.com/g/8/thumbnail.jpg,Trove
HoYoVerse,https://www.freetogame.com/honkai-star-rail,https://www.freetogame.com/open/honkai-star-rail,RPG,605,PC (Windows),HoYoVerse,2023-04-26,A free-to-play sci-fantasy game from HoYoVerse,https://www.freetogame.com/g/605/thumbnail.jpg,Honkai: Star Rail
Blizzard Entertainment,https://www.freetogame.com/overwatch,https://www.freetogame.com/open/overwatch,Shooter,540,PC (Windows),Activision Blizzard,2022-10-04,A hero-focused first-person team shooter from Blizzard Entertainment.,https://www.freetogame.com/g/540/thumbnail.jpg,Overwatch
Mediatonic,https://www.freetogame.com/fall-guys,https://www.freetogame.com/open/fall-guys,Battle Royale,523,PC (Windows),Mediatonic,2020-08-04,Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms.,https://www.freetogame.com/g/523/thumbnail.jpg,Fall Guys
YOOZOO Games,https://www.freetogame.com/game-of-thrones-winter-is-coming,https://www.freetogame.com/open/game-of-thrones-winter-is-coming,Strategy,340,Web Browser,GTArcade,2019-11-14,A free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series.,https://www.freetogame.com/g/340/thumbnail.jpg,Game Of Thrones Winter Is Coming
NetEase Games,https://www.freetogame.com/where-winds-meet,https://www.freetogame.com/open/where-winds-meet,RPG,626,PC (Windows),Everstone Studio,2025-11-14,A free-to-play open-world ARPG set in tenth-century China.,https://www.freetogame.com/g/626/thumbnail.jpg,Where Winds Meet
Epic Games,https://www.freetogame.com/fortnite-battle-royale,https://www.freetogame.com/open/fortnite-battle-royale,Shooter,57,PC (Windows),Epic Games,2017-09-26,"A free-to-play, standalone mode of Epic Game's Fortnite.",https://www.freetogame.com/g/57/thumbnail.jpg,Fortnite
F5 Game Company,https://www.freetogame.com/crystal-saga-nova,https://www.freetogame.com/open/crystal-saga-nova,MMORPG,645,Web Browser,R2Games,2026-05-26,A free-to-play fantasy MMORPG playable on browsers.,https://www.freetogame.com/g/645/thumbnail.jpg,Crystal Saga Nova
InnoGames,https://www.freetogame.com/forge-of-empires,https://www.freetogame.com/open/forge-of-empires,Strategy,345,Web Browser,InnoGames,2012-04-17,"A free to play 2D browser-based online strategy game, become the leader and raise your city.",https://www.freetogame.com/g/345/thumbnail.jpg,Forge of Empires
Bungie,https://www.freetogame.com/destiny-2,https://www.freetogame.com/open/destiny-2,Shooter,21,PC (Windows),Bungie,2019-10-01,A free-to-play multiplayer Sci-Fi MMOFPS from Bungie.,https://www.freetogame.com/g/21/thumbnail.jpg,Destiny 2
Atlant Games Ltd,https://www.freetogame.com/reign-of-guilds,https://www.freetogame.com/open/reign-of-guilds,MMORPG,631,PC (Windows),Atlant Games Ltd,2025-11-26,An open-world MMORPG inspired by old-school games like Ultima Online and EverQuest,https://www.freetogame.com/g/631/thumbnail.jpg,Reign of Guilds
Qooland,https://www.freetogame.com/warborne-above-ashes,https://www.freetogame.com/open/warborne-above-ashes,MMO,616,PC (Windows),Qooland,2025-09-19,A free-to-play PvP-centric MMO.,https://www.freetogame.com/g/616/thumbnail.jpg,Warborne Above Ashes
"Cygames, Inc.",https://www.freetogame.com/umamusume-pretty-derby,https://www.freetogame.com/open/umamusume-pretty-derby,Sports,633,PC (Windows),"Cygames, Inc.",2025-06-24,A free-to-play gacha-style sports game featuring racing horse-girls.,https://www.freetogame.com/g/633/thumbnail.jpg,Umamusume: Pretty Derby
Bohemia Interactive,https://www.freetogame.com/vigor,https://www.freetogame.com/open/vigor,Shooter,588,PC (Windows),Bohemia Interactive,2024-09-18,A free-to-play looter shooter from the developers of Operation Flashpoint and the Arma series.,https://www.freetogame.com/g/588/thumbnail.jpg,Vigor
"Richard Garfield, Justin Gary",https://www.freetogame.com/solforge-fusion,https://www.freetogame.com/open/solforge-fusion,Card Game,585,PC (Windows),Stone Blade Entertainment,2024-04-16,A card-battling game in which each card levels up and becomes more powerful.,https://www.freetogame.com/g/585/thumbnail.jpg,SolForge Fusion
Fobia,https://www.freetogame.com/destinys-divide,https://www.freetogame.com/open/destinys-divide,Card Game,569,PC (Windows),Fobia,2023-11-03,Free-to-play PvP Fantasy Card Game for competitive card game players.,https://www.freetogame.com/g/569/thumbnail.jpg,Destiny's Divide
Stonehollow Workshop,https://www.freetogame.com/eterspire,https://www.freetogame.com/open/eterspire,MMORPG,617,PC (Windows),Stonehollow Workshop,2025-09-15,"A free-to-play, cross-platform MMORPG.",https://www.freetogame.com/g/617/thumbnail.jpg,Eterspire
"GANBARION Co., Ltd.",https://www.freetogame.com/dragon-ball-gekishin-squadra,https://www.freetogame.com/open/dragon-ball-gekishin-squadra,MOBA,632,PC (Windows),Bandai Namco Entertainment,2025-09-09,A free-to-play MOBA featuring all your favorite Dragon Ball characters.,https://www.freetogame.com/g/632/thumbnail.jpg,Dragon Ball Gekishin Squadra
My.games,https://www.freetogame.com/war-robots-frontiers,https://www.freetogame.com/open/war-robots-frontiers,Shooter,603,PC (Windows),My.games,2025-03-04,A multiplayer mech game set in a planetary system light years from Earth.,https://www.freetogame.com/g/603/thumbnail.jpg,War Robots: Frontiers
Mountaintop Studios,https://www.freetogame.com/spectre-divide,https://www.freetogame.com/open/spectre-divide,Shooter,587,PC (Windows),Mountaintop Studios,2024-09-03,"A 3v3 tactical shooter developed and published by Mountaintop Studios in partnership with former pro gamer shroud,",https://www.freetogame.com/g/587/thumbnail.jpg,Spectre Divide
NCSoft,https://www.freetogame.com/battle-crush,https://www.freetogame.com/open/battle-crush,Battle Royale,591,PC (Windows),NCSoft,2024-06-27,An action brawler for up to 30 players.,https://www.freetogame.com/g/591/thumbnail.jpg,Battle Crush
Netmarble,https://www.freetogame.com/the-seven-deadly-sins-origin,https://www.freetogame.com/open/the-seven-deadly-sins-origin,RPG,639,PC (Windows),Netmarble,2026-03-16,A free-to-play action RPG based on the manga and anime.,https://www.freetogame.com/g/639/thumbnail.jpg,The Seven Deadly Sins: Origin
Netmarble,https://www.freetogame.com/raven2,https://www.freetogame.com/open/raven2,MMORPG,623,PC (Windows),Netmarble,2025-10-22,A free-to-play open-world MMORPG.,https://www.freetogame.com/g/623/thumbnail.jpg,Raven2
Pathea Games,https://www.freetogame.com/superball,https://www.freetogame.com/open/superball,Sports,625,PC (Windows),Logoi Games,2025-10-28,A free-to-play futuristic sports game.,https://www.freetogame.com/g/625/thumbnail.jpg,Superball
Dfiance,https://www.freetogame.com/dfiance,https://www.freetogame.com/open/dfiance,Card Game,613,PC (Windows),Dfiance,2025-08-04,A free-to-play tactical card game.,https://www.freetogame.com/g/613/thumbnail.jpg,Dfiance
Riot Games,https://www.freetogame.com/2xko,https://www.freetogame.com/open/2xko,Fighting,621,PC (Windows),Riot Games,2025-10-07,A free-to-play 2v2 fighting game set in the League of Legends universe.,https://www.freetogame.com/g/621/thumbnail.jpg,2XKO
MoreFun Studios,https://www.freetogame.com/arena-breakout-infinite,https://www.freetogame.com/open/arena-breakout-infinite,Shooter,615,PC (Windows),MoreFun Studios,2025-09-16,A free-to-play tactical extraction shooter.,https://www.freetogame.com/g/615/thumbnail.jpg,Arena Breakout: Infinite
NCSoft,https://www.freetogame.com/blade-soul-heroes,https://www.freetogame.com/open/blade-soul-heroes,MMORPG,619,PC (Windows),NCSoft,2025-09-24,A free-to-play collectible action MMORPG set in the Blade & Soul universe.,https://www.freetogame.com/g/619/thumbnail.jpg,Blade & Soul Heroes
iDreamSky,https://www.freetogame.com/strinova,https://www.freetogame.com/open/strinova,Shooter,597,PC (Windows),iDreamSky,2024-11-21,A third-person tactical shooter that features the unique mechanic of allowing players to switch between three-dimensional and two-dimensional forms.,https://www.freetogame.com/g/597/thumbnail.jpg,Strinova
XD,https://www.freetogame.com/heartopia,https://www.freetogame.com/open/heartopia,Social,635,PC (Windows),XD,2026-01-16,A free-to-play life simulation game for multiple players.,https://www.freetogame.com/g/635/thumbnail.jpg,Heartopia
Electronic Arts,https://www.freetogame.com/skate,https://www.freetogame.com/open/skate,Sports,618,PC (Windows),Full Circle,2025-09-16,"The latest, free-to-play, entry in the Skate franchise.",https://www.freetogame.com/g/618/thumbnail.jpg,skate.
KOG,https://www.freetogame.com/return-alive,https://www.freetogame.com/open/return-alive,Shooter,593,PC (Windows),KOG,2024-10-23,A free-to-play top-down tactical shooter.,https://www.freetogame.com/g/593/thumbnail.jpg,Return Alive
Breach.gg,https://www.freetogame.com/project-apidom,https://www.freetogame.com/open/project-apidom,MOBA,579,PC (Windows),"Breach.gg, RedTigerPro",2024-03-29,A free-to-play apocalyptic extraction RPG with MOBA-like combat.,https://www.freetogame.com/g/579/thumbnail.jpg,Project Apidom
NetEase Games,https://www.freetogame.com/infinite-borders,https://www.freetogame.com/open/infinite-borders,Strategy,571,PC (Windows),NetEase Games,2023-12-22,A free-to-play strategy game from NetEase set during China’s Three Kingdoms period.,https://www.freetogame.com/g/571/thumbnail.jpg,Infinite Borders
Shanghai Bokura Networkd Technology,https://www.freetogame.com/blue-protocol-star-resonance,https://www.freetogame.com/open/blue-protocol-star-resonance,MMORPG,622,PC (Windows),A Plus,2025-10-09,A free-to-play open-world anime MMORPG.,https://www.freetogame.com/g/622/thumbnail.jpg,Blue Protocol: Star Resonance
